Model,Shift_Type,Intensity,Accuracy,F1_Score,ROC_AUC,Brier_Score
Naïve Bayes,Baseline,0.0,0.6204319787081585,0.6444940173199663,0.8286390193256719,0.3752305848714786
Logistic Regression,Baseline,0.0,0.8523902139420616,0.8462265344894027,0.9042148127759706,0.10268197856964122
SVM (RBF),Baseline,0.0,0.8595557375371071,0.8528198748328206,0.8992313544662219,0.10539242119919716
Decision Tree,Baseline,0.0,0.8141058450199611,0.8146168386738857,0.7475064001991978,0.1858941549800389
Random Forest,Baseline,0.0,0.8601699252738254,0.8562771085514516,0.9038290568065093,0.10050644783385083
Gradient Boosting,Baseline,0.0,0.86764254273723,0.8607715132195612,0.9214262230484529,0.09171621575279151
AdaBoost,Baseline,0.0,0.8565871634763026,0.8496634940844863,0.9096907114313963,0.17136479538012694
Naïve Bayes,Covariate Shift,0.2,0.6152113829460538,0.6392105531024683,0.8248838271320558,0.3804654674704586
Logistic Regression,Covariate Shift,0.2,0.8487050875217524,0.8436692540331632,0.8959409170585527,0.10689527067377966
SVM (RBF),Covariate Shift,0.2,0.8574060804585935,0.8509991511820141,0.8758447405322006,0.10747285109200726
Decision Tree,Covariate Shift,0.2,0.7887194185689426,0.789390516718702,0.7130842991334362,0.21128058143105743
Random Forest,Covariate Shift,0.2,0.8508547446002661,0.8450017424480418,0.8991607591668269,0.10400285584786342
Gradient Boosting,Covariate Shift,0.2,0.8585320913092436,0.8513253623126269,0.9069378976633503,0.10049683725197771
AdaBoost,Covariate Shift,0.2,0.8472719828027434,0.840925522965281,0.8992298579494797,0.17415737561416283
Naïve Bayes,Covariate Shift,0.5,0.5921793428191217,0.6150641512037057,0.8051236761726561,0.4025959768582009
Logistic Regression,Covariate Shift,0.5,0.8194288054048521,0.8163496163809778,0.8643568736568042,0.12550654348236787
SVM (RBF),Covariate Shift,0.5,0.8409253761899887,0.8363203251114781,0.8339724323197425,0.12173164245219686
Decision Tree,Covariate Shift,0.5,0.7551438222950149,0.758275790974304,0.6773516235307226,0.24488176886068175
Random Forest,Covariate Shift,0.5,0.8199406285187839,0.8149444172430242,0.8665667108599573,0.12379323620068014
Gradient Boosting,Covariate Shift,0.5,0.8213737332377931,0.8165811046814576,0.8653079676047869,0.12798418226250952
AdaBoost,Covariate Shift,0.5,0.8186098884225612,0.8127108596391671,0.8640604194460147,0.1794827101720672
Naïve Bayes,Covariate Shift,1.0,0.525232879516839,0.5410005658737717,0.7491230124099226,0.47008199125938754
Logistic Regression,Covariate Shift,1.0,0.7634353567407104,0.7672538102441966,0.79148542985544,0.1744955775951195
SVM (RBF),Covariate Shift,1.0,0.7780734977991606,0.7794009438232871,0.756122077317192,0.16331476065963504
Decision Tree,Covariate Shift,1.0,0.6735592179342819,0.6927092177950696,0.6409056274670223,0.3264407820657181
Random Forest,Covariate Shift,1.0,0.7328283345275872,0.7421445460285071,0.7906423729045744,0.17366736011874293
Gradient Boosting,Covariate Shift,1.0,0.7340567100010237,0.743533921292027,0.7755271509003447,0.19940435571939857
AdaBoost,Covariate Shift,1.0,0.746238100112601,0.7532386025511495,0.7872942908231636,0.19554206541051034
Naïve Bayes,Covariate Shift,1.5,0.4654519398096018,0.46761546409246685,0.6962399959294745,0.5314270828491238
Logistic Regression,Covariate Shift,1.5,0.7215682260210872,0.7332235344898974,0.746534383795993,0.2192512971645869
SVM (RBF),Covariate Shift,1.5,0.7378442010441192,0.7420431815080333,0.7030351316514557,0.19080574771305064
Decision Tree,Covariate Shift,1.5,0.6198177909714403,0.6462352104440015,0.606460071379244,0.3801822090285597
Random Forest,Covariate Shift,1.5,0.6892210052205958,0.7065457382300336,0.7552993672381865,0.19735567043141003
Gradient Boosting,Covariate Shift,1.5,0.6922919439041867,0.7088285647532636,0.7388383162160597,0.23359719666896925
AdaBoost,Covariate Shift,1.5,0.7070324495854233,0.7209032075021445,0.7562581164448886,0.20337397786916064
Naïve Bayes,Covariate Shift,2.0,0.4317739789128877,0.42334715813297735,0.6629787026097755,0.5651049602673832
Logistic Regression,Covariate Shift,2.0,0.6907564745623912,0.7062522016652404,0.7021615112240482,0.2576410139299614
SVM (RBF),Covariate Shift,2.0,0.7209540382843689,0.7199138289488284,0.6671550203704707,0.19922702771295384
Decision Tree,Covariate Shift,2.0,0.5915651550824035,0.6210889201102645,0.5881823641488002,0.40843484491759646
Random Forest,Covariate Shift,2.0,0.654519398096018,0.6765018082302093,0.728148351776751,0.21247469802436278
Gradient Boosting,Covariate Shift,2.0,0.6695669976456137,0.6891923142330244,0.7084497882371251,0.2510378123652921
AdaBoost,Covariate Shift,2.0,0.6838980448357048,0.7011678352271191,0.7274051585392569,0.20972410082577644
Naïve Bayes,Prior Probability Shift,0.1,0.6126900891452544,0.6421344296815875,0.8273582420883024,0.38287695382395925
Logistic Regression,Prior Probability Shift,0.1,0.8587309910854746,0.8533695727247431,0.9034396549650958,0.09898446366674854
SVM (RBF),Prior Probability Shift,0.1,0.865862611431568,0.8598182908519559,0.8987814637376154,0.10066360519812093
Decision Tree,Prior Probability Shift,0.1,0.8191924488725747,0.8211038919767241,0.7482250199938291,0.18080755112742528
Random Forest,Prior Probability Shift,0.1,0.865023597273204,0.8617532723974782,0.9031697446674167,0.09706602895764142
Gradient Boosting,Prior Probability Shift,0.1,0.8742527530152071,0.8680490742609246,0.9210679634129555,0.08799005256243278
AdaBoost,Prior Probability Shift,0.1,0.8631358154168851,0.8569686235823318,0.9090622958083827,0.16999777220358137
Naïve Bayes,Prior Probability Shift,0.25,0.6019163763066202,0.6409303128921627,0.8290947567593336,0.3936615197262987
Logistic Regression,Prior Probability Shift,0.25,0.8708623693379791,0.8673805832726749,0.9070219167126689,0.09111910806659855
SVM (RBF),Prior Probability Shift,0.25,0.8792465156794426,0.875139012109064,0.9014224265025648,0.09134072577506219
Decision Tree,Prior Probability Shift,0.25,0.8270905923344948,0.8316117797369035,0.7490922188642067,0.17290940766550522
Random Forest,Prior Probability Shift,0.25,0.8757621951219512,0.8741621394742485,0.9053531316789113,0.0903118234006001
Gradient Boosting,Prior Probability Shift,0.25,0.8863240418118467,0.8816529646444641,0.9228465295819466,0.08086982531013064
AdaBoost,Prior Probability Shift,0.25,0.8757621951219512,0.8714346053221481,0.9118515557043799,0.16727254635172278
Naïve Bayes,Prior Probability Shift,0.5,0.5795348837209302,0.6414564084531551,0.8272270845586065,0.41573352736835817
Logistic Regression,Prior Probability Shift,0.5,0.8877906976744186,0.8876893250988083,0.904188393499638,0.08076870613138344
SVM (RBF),Prior Probability Shift,0.5,0.8962790697674419,0.8950817987880053,0.900692990856628,0.07892048198108194
Decision Tree,Prior Probability Shift,0.5,0.8398837209302326,0.8507948317293041,0.7451539622180172,0.16011627906976744
Random Forest,Prior Probability Shift,0.5,0.8912790697674419,0.8930163698051967,0.9031797987737542,0.08055122319121445
Gradient Boosting,Prior Probability Shift,0.5,0.903953488372093,0.9018964201788683,0.9213823348170721,0.0706352776861462
AdaBoost,Prior Probability Shift,0.5,0.8930232558139535,0.891747214780854,0.9095124244849019,0.16365146089312116
Naïve Bayes,Prior Probability Shift,0.75,0.5550842170929507,0.6535978721417459,0.8307831594044203,0.44000901229336875
Logistic Regression,Prior Probability Shift,0.75,0.9096693699313787,0.9165324888293557,0.9048610227794337,0.06704517373359736
SVM (RBF),Prior Probability Shift,0.75,0.9190268247036806,0.9239598968373817,0.8988184447602878,0.06216834430111833
Decision Tree,Prior Probability Shift,0.75,0.8578914535246412,0.8812805643557043,0.7561193113631713,0.1421085464753587
Random Forest,Prior Probability Shift,0.75,0.9097941359950094,0.9181881660696262,0.9066330330363546,0.06749370381922783
